	System	SnomedCtCode	Equivalence	LocalCode	UZ	RU	EN			
	http://snomed-info/sct	387929003	"   source-is-narrower-than-target	"	aller-0010-00039	Chinor (Pla a 3)	Платан кленолистный (Pla a 3)	Plane tree (Pla a 3)			
	http://snomed-info/sct	256269005	"   source-is-narrower-than-target	"	aller-0010-00040	Terak (Pop n)	Тополь (Pop n)	Poplar (Pop n)			
	http://snomed-info/sct	1285422007	"   source-is-narrower-than-target	"	aller-0010-00041	Qayragʻoch (Ulm c)	Вяз (Ulm c)	Elm (Ulm c)			
	http://snomed-info/sct	260113002	"   source-is-narrower-than-target	"	aller-0010-00043	Oddiy olabuta (Ama r)	Обыкновенная марь (Ama r)	Common goosefoot (Ama r)			
	http://snomed-info/sct	698721004	"   source-is-narrower-than-target	"	aller-0010-00044	Ambroziya (Amb a)	Амброзия (Amb a)	Ragweed (Amb a)			
	http://snomed-info/sct	698721004	"   source-is-narrower-than-target	"	aller-0010-00045	Ambroziya (Amb a 1)	Амброзия (Amb a 1)	Ragweed (Amb a 1)			
	http://snomed-info/sct	698721004	"   source-is-narrower-than-target	"	aller-0010-00046	Ambroziya (Amb a 4)	Амброзия (Amb a 4)	Ragweed (Amb a 4)			
	http://snomed-info/sct	256293000	"   source-is-narrower-than-target	"	aller-0010-00047	Shuvoq (Art v)	Полынь (Art v)	Wormwood (Art v)			
	http://snomed-info/sct	256293000	"   source-is-narrower-than-target	"	aller-0010-00048	Shuvoq (Art v 1)	Полынь (Art v 1)	Wormwood (Art v 1)			
	http://snomed-info/sct	256293000	"   source-is-narrower-than-target	"	aller-0010-00049	Shuvoq (Art v 3)	Полынь (Art v 3)	Wormwood (Art v 3)			
	http://snomed-info/sct	16292008	"   source-is-narrower-than-target	"	aller-0010-00050	Nasha (Can s)	Конопля (Can s)	Hemp (Can s)			
	http://snomed-info/sct	16292008	"   source-is-narrower-than-target	"	aller-0010-00051	Nasha (Can s 3)	Конопля (Can s 3)	Hemp (Can s 3)			
	http://snomed-info/sct	1285421000	"   source-is-narrower-than-target	"	aller-0010-00052	Oq olabuta (Che a)	Марь белая (Che a)	White goosefoot (Che a)			
	http://snomed-info/sct	1285421000	"   source-is-narrower-than-target	"	aller-0010-00053	Oq olabuta (Che a 1)	Марь белая (Che a 1)	White goosefoot (Che a 1)			
	http://snomed-info/sct	12926008	"   source-is-narrower-than-target	"	aller-0010-00054	Bir yillik prolesnik(Mer a 1)	Пролесник однолетний (Mer a 1)	Annual wood-snow (Mer a 1)			
	http://snomed-info/sct	710904007	"   source-is-narrower-than-target	"	aller-0010-00055	Postennitsa (Par j)	Постенница (Par j)	Wallflower (Par j)			
	http://snomed-info/sct	710904007	"   source-is-narrower-than-target	"	aller-0010-00056	Postennitsa (Par j 2)	Постенница (Par j 2)	Wallflower (Par j 2)			
	http://snomed-info/sct	256294006	"   source-is-narrower-than-target	"	aller-0010-00057	Zubturum (Pla l)	Подорожник (Pla l)	Plantain (Pla l)			
	http://snomed-info/sct	256294006	"   source-is-narrower-than-target	"	aller-0010-00058	Zubturum (Pla l 1)	Подорожник (Pla l 1)	Plantain (Pla l 1)			
	http://snomed-info/sct	260111000	"   source-is-narrower-than-target	"	aller-0010-00059	Shoʻrak (Sal k)	Солянка (Sal k)	Salwort (Sal k)			
	http://snomed-info/sct	260111000	"   source-is-narrower-than-target	"	aller-0010-00060	Shoʻrak (Sal k 1)	Солянка (Sal k 1)	Salwort (Sal k 1)			
	http://snomed-info/sct	256298009	"   source-is-narrower-than-target	"	aller-0010-00061	Gazanda (Urt d)	Крапива (Urt d)	Nettle (Urt d)			
	http://snomed-info/sct	703951002	    source-is-broader-than-target	aller-0010-00064	Amerika uy changi kanasi (Der f 1)	Американский клещ домашней пыли (Der f 1)	American house dust mite (Der f 1)			
	http://snomed-info/sct	703951002	    source-is-broader-than-target	aller-0010-00065	Amerika uy changi kanasi (Der f 2)	Американский клещ домашней пыли (Der f 2)	American house dust mite (Der f 2)			
	http://snomed-info/sct	703952009	"   source-is-narrower-than-target	"	aller-0010-00066	Yevropa uy changi kanasi (Der p 1)	Европейский клещ домашней пыли (Der p 1)	European house dust mite (Der p 1)			
	http://snomed-info/sct	703952009	"   source-is-narrower-than-target	"	aller-0010-00067	Yevropa uy changi kanasi (Der p 2)	Европейский клещ домашней пыли (Der p 2)	European house dust mite (Der p 2)			
	http://snomed-info/sct	703952009	"   source-is-narrower-than-target	"	aller-0010-00068	Yevropa uy changi kanasi (Der p 5)	Европейский клещ домашней пыли (Der p 5)	European house dust mite (Der p 5)			
	http://snomed-info/sct	703952009	"   source-is-narrower-than-target	"	aller-0010-00069	Yevropa uy changi kanasi (Der p 7)	Европейский клещ домашней пыли (Der p 7)	European house dust mite (Der p 7)			
	http://snomed-info/sct	703952009	"   source-is-narrower-than-target	"	aller-0010-00070	Yevropa uy changi kanasi (Der p 10)	Европейский клещ домашней пыли (Der p 10)	European house dust mite (Der p 10)			
	http://snomed-info/sct	703952009	"   source-is-narrower-than-target	"	aller-0010-00071	Yevropa uy changi kanasi (Der p 11)	Европейский клещ домашней пыли (Der p 11)	European house dust mite (Der p 11)			
	http://snomed-info/sct	703952009	"   source-is-narrower-than-target	"	aller-0010-00072	Yevropa uy changi kanasi (Der p 20)	Европейский клещ домашней пыли (Der p 20)	European house dust mite (Der p 20)			
	http://snomed-info/sct	703952009	"   source-is-narrower-than-target	"	aller-0010-00073	Yevropa uy changi kanasi (Der p 21)	Европейский клещ домашней пыли (Der p 21)	European house dust mite (Der p 21)			
	http://snomed-info/sct	703952009	"   source-is-narrower-than-target	"	aller-0010-00074	Yevropa uy changi kanasi (Der p 23)	Европейский клещ домашней пыли (Der p 23)	European house dust mite (Der p 23)			
	http://snomed-info/sct	388231000	    source-is-broader-than-target	aller-0010-00076	Un kanasi (Aca s)	Амбарный или мучной клещ (Acarus siro) (Aca s)	Barn or flour mite (Acarus siro) (Aca s)			
	http://snomed-info/sct	388232007	    source-is-broader-than-target	aller-0010-00077	Uy changi kanasi Blomia tropicalis (Blo t 5)	Клещ домашней пыли Blomia tropicalis (Blo t 5)	House dust mite Blomia tropicalis (Blo t 5)			
	http://snomed-info/sct	388232007	"   source-is-narrower-than-target	"	aller-0010-00078	Uy changi kanasi Blomia tropicalis (Blo t 10)	Клещ домашней пыли Blomia tropicalis (Blo t 10)	House dust mite Blomia tropicalis (Blo t 10)			
	http://snomed-info/sct	388232007	"   source-is-narrower-than-target	"	aller-0010-00079	Uy changi kanasi Blomia tropicalis (Blo t 21)	Клещ домашней пыли Blomia tropicalis (Blo t 21)	House dust mite Blomia tropicalis (Blo t 21)			
	http://snomed-info/sct	388237001	    source-is-broader-than-target	aller-0010-00080	Uy changi kanasi Glycyphagus domesticus (Gly d 2)	Клещ домашней пыли Glycyphagus domesticus (Gly d 2)	House dust mite Glycyphagus domesticus (Gly d 2)			
	http://snomed-info/sct	388238006	"   source-is-narrower-than-target	"	aller-0010-00081	Uy changi kanasi Lepidoglyphus destructor (Lep d 2)	Клещ домашней пыли Lepidoglyphus destructor (Lep d 2)	House dust mite Lepidoglyphus destructor (Lep d 2)			
	http://snomed-info/sct	388239003	"   source-is-narrower-than-target	"	aller-0010-00082	Uy changi kanasi Tyrophagus putrescentiae (Tyr p)(	Клещ домашней пыли Tyrophagus putrescentiae (Tyr p)	House dust mite Tyrophagus putrescentiae (Tyr p)			
	http://snomed-info/sct	388239003	"   source-is-narrower-than-target	"	aller-0010-00083	Uy changi kanasi Tyrophagus putrescentiae (Tyr p 2)	Клещ домашней пыли Tyrophagus putrescentiae (Tyr p 2)	House dust mite Tyrophagus putrescentiae (Tyr p 2)			
	http://snomed-info/sct	447178007	"   source-is-narrower-than-target	"	aller-0010-00086	Xamirturushli zamburugʻ Malassezia sympodialis (Mala s 5)	Дрожжевые грибы рода Malassezia Malassezia sympodialis (Mala s 5)	Yeasts of the genus Malassezia Malassezia sympodialis (Mala s 5)			
	http://snomed-info/sct	447178007	"   source-is-narrower-than-target	"	aller-0010-00087	Xamirturushli zamburugʻ Malassezia sympodialis (Mala s 6)	Дрожжевые грибы рода Malassezia Malassezia sympodialis (Mala s 6)	Yeasts of the genus Malassezia Malassezia sympodialis (Mala s 6)			
	http://snomed-info/sct	447178007	"   source-is-narrower-than-target	"	aller-0010-00088	Xamirturushli zamburugʻ Malassezia sympodialis (Mala s 11)	Дрожжевые грибы рода Malassezia Malassezia sympodialis (Mala s 11)	Yeasts of the genus Malassezia Malassezia sympodialis (Mala s 11)			
	http://snomed-info/sct	58296003	"   source-is-narrower-than-target	"	aller-0010-00089	Novvoylik xamiturushlari (Sac c)	Пекарские дрожжи (Sac c)	Baker's yeast (Sac c)			
	http://snomed-info/sct	36703000	"   source-is-narrower-than-target	"	aller-0010-00091	Alternariya (Alternaria alternata) (Alt a 1)	Альтернария (Alternaria alternata) (Alt a 1)	Alternaria (Alternaria alternata) (Alt a 1)			
	http://snomed-info/sct	36703000	"   source-is-narrower-than-target	"	aller-0010-00092	Alternariya (Alternaria alternata) (Alt a 6)	Альтернария (Alternaria alternata) (Alt a 6)	Alternaria (Alternaria alternata) (Alt a 6)			
	http://snomed-info/sct	32684000	"   source-is-narrower-than-target	"	aller-0010-00093	Tutovchi aspergil (Aspergillus fumigatus) (Asp f 1)	Аспергил дымящий (Aspergillus fumigatus) (Asp f 1)	Aspergillus fumigatus (Asp f 1)			
	http://snomed-info/sct	32684000	"   source-is-narrower-than-target	"	aller-0010-00094	Tutovchi aspergil (Aspergillus fumigatus) (Asp f 3)	Аспергил дымящий (Aspergillus fumigatus) (Asp f 3)	Aspergillus fumigatus (Asp f 3)			
	http://snomed-info/sct	32684000	"   source-is-narrower-than-target	"	aller-0010-00095	Tutovchi aspergil (Aspergillus fumigatus) (Asp f 4)	Аспергил дымящий (Aspergillus fumigatus) (Asp f 4)	Aspergillus fumigatus (Asp f 4)			
	http://snomed-info/sct	32684000	"   source-is-narrower-than-target	"	aller-0010-00096	Tutovchi aspergil (Aspergillus fumigatus) (Asp f 6)	Аспергил дымящий (Aspergillus fumigatus) (Asp f 6)	Aspergillus fumigatus (Asp f 6)			
	http://snomed-info/sct	3459008	"   source-is-narrower-than-target	"	aller-0010-00097	"Кладоспориум гербарум
Cladosporium herbarum (Cla h)"	"Кладоспориум гербарум
Cladosporium herbarum (Cla h)"	"Cladosporium herbarum
Cladosporium herbarum (Cla h)"			
	http://snomed-info/sct	3459008	"   source-is-narrower-than-target	"	aller-0010-00098	"Кладоспориум гербарум
Cladosporium herbarum (Cla h 8)"	"Кладоспориум гербарум
Cladosporium herbarum (Cla h 8)"	"Cladosporium herbarum
Cladosporium herbarum (Cla h 8)"			
	http://snomed-info/sct	24476004	"   source-is-narrower-than-target	"	aller-0010-00099	Олтинранг пенициллин (Penicilium chrysogenum) (Pen ch)	Пенициллин золотистый (Penicilium chrysogenum) (Pen ch)	Penicillium chrysogenum (Pen ch)			
	http://snomed-info/sct	387974005	"   source-is-narrower-than-target	"	aller-0010-00102	Yeryongʻoq (Ara h 1)	Арахис (Ara h 1)	Peanuts (Ara h 1)			
	http://snomed-info/sct	387974005	"   source-is-narrower-than-target	"	aller-0010-00103	Yeryongʻoq (Ara h 2)	Арахис (Ara h 2)	Peanut (Ara h 2)			
	http://snomed-info/sct	387974005	"   source-is-narrower-than-target	"	aller-0010-00104	Yeryongʻoq (Ara h 3)	Арахис (Ara h 3)	Peanut (Ara h 3)			
	http://snomed-info/sct	387974005	"   source-is-narrower-than-target	"	aller-0010-00105	Yeryongʻoq (Ara h 6)	Арахис (Ara h 6)	Peanut (Ara h 6)			
	http://snomed-info/sct	387974005	"   source-is-narrower-than-target	"	aller-0010-00106	Yeryongʻoq (Ara h 8)	Арахис (Ara h 8)	Peanut (Ara h 8)			
	http://snomed-info/sct	387974005	"   source-is-narrower-than-target	"	aller-0010-00107	Yeryongʻoq (Ara h 9)	Арахис (Ara h 9)	Peanut (Ara h 9)			
	http://snomed-info/sct	387974005	"   source-is-narrower-than-target	"	aller-0010-00108	Yeryongʻoq (Ara h 15)	Арахис (Ara h 15)	Peanut (Ara h 15)			
	http://snomed-info/sct	388175009	"   source-is-narrower-than-target	"	aller-0010-00109	Oddiy noʻxat (Cic a)	Нут обыкновенный (Cic a)	Chickpea (Cic a)			
	http://snomed-info/sct	256355007	"   source-is-narrower-than-target	"	aller-0010-00110	Soya loviyasi (Gly m 4)	Соя (Gly m 4)	Soybean (Gly m 4)			
	http://snomed-info/sct	256355007	"   source-is-narrower-than-target	"	aller-0010-00111	Soya loviyasi (Gly m 5)	Соя (Gly m 5)	Soybean (Gly m 5)			
	http://snomed-info/sct	256355007	"   source-is-narrower-than-target	"	aller-0010-00112	Soya loviyasi (Gly m 6)	Соя (Gly m 6)	Soybean (Gly m 6)			
	http://snomed-info/sct	256355007	"   source-is-narrower-than-target	"	aller-0010-00113	Soya loviyasi (Gly m 8)	Соя (Gly m 8)	Soybean (Gly m 8)			
	http://snomed-info/sct	227350006	"   source-is-narrower-than-target	"	aller-0010-00114	Yasmiq (Len c)	Чечевица (Len c)	Lentils (Len c)			
	http://snomed-info/sct	1284970000	"   source-is-narrower-than-target	"	aller-0010-00115	Yashil loviya (Pha v)	Зеленая фасоль (Pha v)	Green beans (Pha v)			
	http://snomed-info/sct	387973004	"   source-is-narrower-than-target	"	aller-0010-00116	Noʻxat (Pis s)	Горох (Pis s)	Peas (Pis s)			
	http://snomed-info/sct	26949008	"   source-is-narrower-than-target	"	aller-0010-00118	Suli (Ave s)	Овес (Ave s)	Oats (Ave s)			
	http://snomed-info/sct	227515004	"   source-is-narrower-than-target	"	aller-0010-00119	Kinoa (Che q)	Киноа (Che q)	Quinoa (Che q)			
	http://snomed-info/sct	387971002	"   source-is-narrower-than-target	"	aller-0010-00120	Oddiy marjumak (Fag e)	Гречиха обыкновенная (Fag e)	Buckwheat (Fag e)			
	http://snomed-info/sct	387971002	"   source-is-narrower-than-target	"	aller-0010-00121	Oddiy marjumak (Fag e 2)	Гречиха обыкновенная (Fag e 2)	Buckwheat (Fag e 2)			
	http://snomed-info/sct	20445003	"   source-is-narrower-than-target	"	aller-0010-00122	Arpa (Hor v)	Ячмень (Hor v)	Barley (Hor v)			
	http://snomed-info/sct	388211004	"   source-is-narrower-than-target	"	aller-0010-00123	Boʻrilukkak urugʻi (Lup a)	Семена люпина (Lup a)	Lupin seeds (Lup a)			
	http://snomed-info/sct	387968005	"   source-is-narrower-than-target	"	aller-0010-00124	Guruch (Ory s)	Рис (Ory s)	Rice (Ory s)			
	http://snomed-info/sct	88672006	"   source-is-narrower-than-target	"	aller-0010-00125	Tariq (Pan m)	Пшено (Pan m)	Millet (Pan m)			
	http://snomed-info/sct	412068007	"   source-is-narrower-than-target	"	aller-0010-00126	Javdar (Sec c_flour)	Рожь (Sec c_flour)	Rye (Sec c_flour)			
	http://snomed-info/sct	412071004	"   source-is-narrower-than-target	"	aller-0010-00127	Boʻgʻdoy (Tri a aA_TI)	Пшеница (Tri a aA_TI)	Wheat (Tri a aA_TI)			
	http://snomed-info/sct	412071004	"   source-is-narrower-than-target	"	aller-0010-00128	Boʻgʻdoy (Tri a 14)	Пшеница (Tri a 14)	Wheat (Tri a 14)			
	http://snomed-info/sct	412071004	"   source-is-narrower-than-target	"	aller-0010-00129	Boʻgʻdoy (Tri a 19)	Пшеница (Tri a 19)	Wheat (Tri a 19)			
	http://snomed-info/sct	412071004	"   source-is-narrower-than-target	"	aller-0010-00130	Spelta boʻgʻdoyi (Tri s)	Пшеница спельта (Tri s)	Spelt wheat (Tri s)			
	http://snomed-info/sct	412357001	"   source-is-narrower-than-target	"	aller-0010-00131	Makkajoʻhori (Zea m)	Кукуруза (Zea m)	Corn (Zea m)			
	http://snomed-info/sct	412357001	"   source-is-narrower-than-target	"	aller-0010-00132	Makkajoʻhori (Zea m 14)	Кукуруза (Zea m 14)	Corn (Zea m 14)			
	http://snomed-info/sct	227408005	"   source-is-narrower-than-target	"	aller-0010-00134	Paprika (Cap a)	Паприка (Cap a)	Paprika (Cap a)			
	http://snomed-info/sct	227381002	"   source-is-narrower-than-target	"	aller-0010-00135	Oddiy zira (Car c)	Тмин обикновенный (Car c)	Caraway (Car c)			
	http://snomed-info/sct	227407000	"   source-is-narrower-than-target	"	aller-0010-00136	Oregano (Ori v)	Орегано (Ori v)	Oregano (Ori v)			
	http://snomed-info/sct	735048005	"   source-is-narrower-than-target	"	aller-0010-00137	Maydanoz (Pet c)	Петрушка (Pet c)	Parsley (Pet c)			
	http://snomed-info/sct	227376006	"   source-is-narrower-than-target	"	aller-0010-00138	Arpabodiyon (Pim a)	Анис (Pim a)	Anise (Pim a)			
	http://snomed-info/sct	51905005	"   source-is-narrower-than-target	"	aller-0010-00139	Xantal (Sin)	Горчица (Sin)	Mustard (Sin)			
	http://snomed-info/sct	51905005	"   source-is-narrower-than-target	"	aller-0010-00140	Xantal (Sin a 1)	Горчица (Sin a 1)	Mustard (Sin a 1)			
	http://snomed-info/sct	422662008	"   source-is-narrower-than-target	"	aller-0010-00142	Kivi (Act d 1)	Киви (Act d 1)	Kiwi (Act d 1)			
	http://snomed-info/sct	422662008	"   source-is-narrower-than-target	"	aller-0010-00143	Kivi (Act d 2)	Киви (Act d 2)	Kiwi (Act d 2)			
	http://snomed-info/sct	422662008	"   source-is-narrower-than-target	"	aller-0010-00144	Kivi (Act d 5)	Киви (Act d 5)	Kiwi (Act d 5)			
	http://snomed-info/sct	422662008	"   source-is-narrower-than-target	"	aller-0010-00145	Kivi (Act d 10)	Киви (Act d 10)	Kiwi (Act d 10)			
	http://snomed-info/sct	735212003	"   source-is-narrower-than-target	"	aller-0010-00146	Papayya (Car p)	Папайя (Car p)	Papaya (Car p)			
	http://snomed-info/sct	256306003	"   source-is-narrower-than-target	"	aller-0010-00147	Apelsin (Cit s)	Апельсин (Cit s)	Orange (Cit s)			
	http://snomed-info/sct	1264568007	"   source-is-narrower-than-target	"	aller-0010-00148	Qovun (Cuc m 2)	Дыня (Cuc m 2)	Melon (Cuc m 2)			
