SNOMED_CODE	equivalence	CODE	CODE 2	UZ	RU	EN
		74	pharm.0001.00074	Transmammar	Трансмаммарный	Transmammary
446442000	equivalent	75	pharm.0001.00075	Transplatsentar (yoʻldosh orqali)	Трансплацентарный	Transplacental
90028008	equivalent	76	pharm.0001.00076	Uretral	Уретральный	Urethral
58811000052103	equivalent	77	pharm.0001.00077	Oʻsma atrofiga	Околоопухолевый	Peritumoral
447122006	equivalent	78	pharm.0001.00078	Oʻsma ichiga	Внутриопухолевый	Intratumoral
		79	pharm.0001.00079	Shikastlanish oʻchogʻiga	На очаг повреждения	On the lesion site
		80	pharm.0001.00080	Shikastlanish oʻchoq ichiga	Внутрь очага повреждения	Inside the lesion site
372453002	equivalent	81	pharm.0001.00081	Ekstraamniotik (amniotik qavat sirtiga)	Экстраамниотический	Extraamniotic
714743009	equivalent	82	pharm.0001.00082	Ekstrakorporal	Экстракорпоральный	Extracorporeal
372452007	equivalent	83	pharm.0001.00083	Endotraxeopulmonal	Эндотрахеопульмональный	Endotracheopulmonary
372450004	equivalent	84	pharm.0001.00084	Endotservikal	Эндоцервикальный	Endocervical
		85	pharm.0001.00085	Enteral	Энтеральный	Enteric
448077001	equivalent	86	pharm.0001.00086	Epiderma ichiga	Внутриэпидермальный	Intraepidermal
404820008	equivalent	87	pharm.0001.00087	Epidural	Эпидуральный	Epidural
