LOINC	EN	RU	UZ
30981-5	Earliest date to give	Самая ранняя допустимая дата вакцинации	Emlashni o‘tkazish mumkin bo‘lgan eng erta sana				http://hl7.org/fhir/ValueSet/immunization-recommendation-reason
30980-7	Date vaccine due.	Рекомендуемая дата вакцинации	Emlash tavsiya etilgan sana
59777-3	Latest date to give immunization the disease is not likely to provide benefit.	Крайняя дата своевременной вакцинации	Emlashni o‘z vaqtida o‘tkazish uchun oxirgi sana
59778-1	Date when overdue for immunization	Дата, с которой вакцинация считается просроченной	Emlash muddati o‘tgan deb hisoblanadigan sana
