		yarim patologik oʻzgarishlarning doza birliklari	единицы дозы полупатологоанатомических изменений	units of dose per half of pathological changes	EID 50	ЭИД 50
		yarimsitopatik taʼsir birligi dozasi	единица дозы полуцитопатического эффекта	unit dose of semi-cytopathic effect	SPD 50	ЦПД 50
		minimal infeksion doza	минимальная инфицирующая доза	minimum infectious dose	MIDe	МИДэ
		bogʻlash birligi	единица связывания	binding unit	BB	ЕС
		reaktivlik indeksi (standartlashtirishning biologik birligi)	индекс реактивности (биологическая единица стандартизации)	reactivity index (biological unit of standardization)	RI	ИР
		antigen birligi	единица антигена	antigen unit	antigen birligi	единица антигена
[AU]	[AU]	allergen birligi	единица аллергена	allergen unit	allergyen birligi	единица аллергена
		qurbaqa taʼsiri birligi	лягушачья единица действия	frog action unit	QTB	ЛЕД
		millilitrda biologik faollikning taʼsir birligi	единица действия биологической активности на миллилитр	unit of biological activity per milliliter	TB/ml	ЕД/мл
		millilitrda oqsil azot birligi	единица белкового азота на миллилитр	unit of protein nitrogen per milliliter	RNU/ml	РNU/мл
		millilitrda reaktivlik indeksi (standartlashtirishning biologik birligi) 	индекс реактивности (биологическая единица стандартизации) на миллилитр	reactivity index (biological unit of standardization) per milliliter	IR/ml	ИР/мл
[D'ag'U]		D-antigen birligi	единица D-антигена	D antigen unit	D-antigen birligi	Единица D-антигена
