Справочник международных непатентованных наименований лекарственных средств					
Общее количество элементов: 9347					
			https://nsi.eaeunion.org/portal/1016?searchText=&date=2025-09-08		
Количество выгруженных элементов: 9347					
Код международного непатентованного наименования лекарственного средства	Международное непатентованное наименование лекарственного средства на русском языке	Международное непатентованное наименование лекарственного средства на английском языке	Международное непатентованное наименование лекарственного средства на латинском языке	Вид акта	
001636	гемоглобин кросфумарил (бычий)	hemoglobin crosfumaril (bovine)	hemoglobinum crosfumarilum (bovinum)	13201 - Решение Коллегии Евразийской экономической комиссии	
001637	гемоглобин раффимер	hemoglobin raffimer	hemoglobinum raffimerum	13201 - Решение Коллегии Евразийской экономической комиссии	
001638	гемопатрилат	gemopatrilat	gemopatrilatum	13201 - Решение Коллегии Евразийской экономической комиссии	
001639	гемтузумаб	gemtuzumab	gemtuzumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
001640	гемтузумаб озогамицин	gemtuzumab ozogamicin	gemtuzumabum ozogamicinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001641	гемфиброзил	gemfibrozil	gemfibrozilum	13201 - Решение Коллегии Евразийской экономической комиссии	
001642	гемцитабин	gemcitabine	gemcitabinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001643	гемцитабин элаидат	gemcitabine elaidate	gemcitabini elaidas	13201 - Решение Коллегии Евразийской экономической комиссии	
001644	гентамицин	gentamicin	gentamicinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001645	гентизиновая кислота	gentisic acid	acidum gentisicum	13201 - Решение Коллегии Евразийской экономической комиссии	
001646	гепарин натрия	heparin sodium	heparinum natricum	13201 - Решение Коллегии Евразийской экономической комиссии	
001647	гепефрин	gepefrine	gepefrinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001648	гепзидин	hepzidine	hepzidinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001649	гепирон	gepirone	gepironum	13201 - Решение Коллегии Евразийской экономической комиссии	
001650	гепотидацин	gepotidacin	gepotidacinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001651	гепроникат	hepronicate	hepronicatum	13201 - Решение Коллегии Евразийской экономической комиссии	
001652	гептабарб	heptabarb	heptabarbum	13201 - Решение Коллегии Евразийской экономической комиссии	
001653	гептаверин	heptaverine	heptaverinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001654	гептаминол	heptaminol	heptaminolum	13201 - Решение Коллегии Евразийской экономической комиссии	
001655	гептоламид	heptolamide	heptolamidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001656	герохинол	geroquinol	geroquinolum	13201 - Решение Коллегии Евразийской экономической комиссии	
001657	гестадиенол	gestadienol	gestadienolum	13201 - Решение Коллегии Евразийской экономической комиссии	
001658	гестаклон	gestaclone	gestaclonum	13201 - Решение Коллегии Евразийской экономической комиссии	
001659	гестоден	gestodene	gestodenum	13201 - Решение Коллегии Евразийской экономической комиссии	
001660	гестонорона капроат	gestonorone caproate	gestonoroni caproas	13201 - Решение Коллегии Евразийской экономической комиссии	
001661	гестринон	gestrinone	gestrinonum	13201 - Решение Коллегии Евразийской экономической комиссии	
001662	гетафлур	hetaflur	hetaflurum	13201 - Решение Коллегии Евразийской экономической комиссии	
001663	гетациллин	hetacillin	hetacillinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001664	гетерония бромид	heteronium bromide	heteronii bromidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001665	гефарнат	gefarnate	gefarnatum	13201 - Решение Коллегии Евразийской экономической комиссии	
001666	гефитиниб	gefitinib	gefitinibum	13201 - Решение Коллегии Евразийской экономической комиссии	
001667	гидралазин	hydralazine	hydralazinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001668	гиалозидаза	hyalosidase	hyalosidasum	13201 - Решение Коллегии Евразийской экономической комиссии	
001669	гиалуронидаза	hyaluronidase	hyaluronidasum	13201 - Решение Коллегии Евразийской экономической комиссии	
001670	гибензат	hibenzate	hibenzas (R)	13201 - Решение Коллегии Евразийской экономической комиссии	
001671	гивиностат	givinostat	givinostatum	13201 - Решение Коллегии Евразийской экономической комиссии	
001672	гивосиран	givosiran	givosiranum	13201 - Решение Коллегии Евразийской экономической комиссии	
001673	гидракарбазин	hydracarbazine	hydracarbazinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001674	гидраргафен	hydrargaphen	hydrargaphenum	13201 - Решение Коллегии Евразийской экономической комиссии	
001675	гидробентизид	hydrobentizide	hydrobentizidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001676	гидрокодон	hydrocodone	hydrocodonum	13201 - Решение Коллегии Евразийской экономической комиссии	
001677	гидрокортамат	hydrocortamate	hydrocortamatum	13201 - Решение Коллегии Евразийской экономической комиссии	
001678	гидрокортизон	hydrocortisone	hydrocortisonum	13201 - Решение Коллегии Евразийской экономической комиссии	
001679	гидрокортизона ацепонат	hydrocortisone aceponate	hydrocortisoni aceponas	13201 - Решение Коллегии Евразийской экономической комиссии	
001680	гидроксиамфетамин	hydroxyamfetamine	hydroxyamfetaminum	13201 - Решение Коллегии Евразийской экономической комиссии	
001681	гидроксидиона натрия сукцинат	hydroxydione sodium succinate	hydroxydioni natrii succinas	13201 - Решение Коллегии Евразийской экономической комиссии	
001682	гидроксизин	hydroxyzine	hydroxyzinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001683	гидроксикарбамид	hydroxycarbamide	hydroxycarbamidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001684	гидроксиндазат	hydroxindasate	hydroxindasatum	13201 - Решение Коллегии Евразийской экономической комиссии	
001685	гидроксиндазол	hydroxindasol	hydroxindasolum	13201 - Решение Коллегии Евразийской экономической комиссии	
001686	гидроксипетидин	hydroxypethidine	hydroxypethidinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001687	гидроксипиридина тартрат	hydroxypyridine tartrate	hydroxypyridini tartras	13201 - Решение Коллегии Евразийской экономической комиссии	
001688	гидроксипрогестерон	hydroxyprogesterone	hydroxyprogesteronum	13201 - Решение Коллегии Евразийской экономической комиссии	
001689	гидроксипрогестерона капроат	hydroxyprogesterone caproate	hydroxyprogesteroni caproas	13201 - Решение Коллегии Евразийской экономической комиссии	
001690	гидроксипрокаин	hydroxyprocaine	hydroxyprocainum	13201 - Решение Коллегии Евразийской экономической комиссии	
001691	гидроксистенозол	hydroxystenozole	hydroxystenozolum	13201 - Решение Коллегии Евразийской экономической комиссии	
001692	гидроксистилбамидин	hydroxystilbamidine	hydroxystilbamidinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001693	гидрокситетракаин	hydroxytetracaine	hydroxytetracainum	13201 - Решение Коллегии Евразийской экономической комиссии	
001694	гидрокситолуиловая кислота	hydroxytoluic acid	acidum hydroxytoluicum	13201 - Решение Коллегии Евразийской экономической комиссии	
001695	гидроксихлорохин	hydroxychloroquine	hydroxychloroquinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001696	гидроксокобаламин	hydroxocobalamin	hydroxocobalaminum	13201 - Решение Коллегии Евразийской экономической комиссии	
001697	гидромадинон	hydromadinone	hydromadinonum	13201 - Решение Коллегии Евразийской экономической комиссии	
001698	гидроморфинол	hydromorphinol	hydromorphinolum	13201 - Решение Коллегии Евразийской экономической комиссии	
001699	гидроморфон	hydromorphone	hydromorphonum	13201 - Решение Коллегии Евразийской экономической комиссии	
001700	гидроталцит	hydrotalcite	hydrotalcitum	13201 - Решение Коллегии Евразийской экономической комиссии	
001701	гидрофлуметиазид	hydroflumethiazide	hydroflumethiazidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001702	гидрохлоротиазид	hydrochlorothiazide	hydrochlorothiazidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001703	гикантон	hycanthone	hycanthonum	13201 - Решение Коллегии Евразийской экономической комиссии	
001704	гиклат	hyclate	hyclas (R)	13201 - Решение Коллегии Евразийской экономической комиссии	
001705	гилтеритиниб	gilteritinib	gilteritinibum	13201 - Решение Коллегии Евразийской экономической комиссии	
001706	гиматекан	gimatecan	gimatecanum	13201 - Решение Коллегии Евразийской экономической комиссии	
001707	гимекромон	hymecromone	hymecromonum	13201 - Решение Коллегии Евразийской экономической комиссии	
001708	гимерацил	gimeracil	gimeracilum	13201 - Решение Коллегии Евразийской экономической комиссии	
001709	гиметеллоза	hymetellose	hymetellosum	13201 - Решение Коллегии Евразийской экономической комиссии	
001710	гиминабант	giminabant	giminabantum	13201 - Решение Коллегии Евразийской экономической комиссии	
001711	гипармен	giparmen	giparmenum	13201 - Решение Коллегии Евразийской экономической комиссии	
001712	гипролоза	hyprolose	hyprolosum	13201 - Решение Коллегии Евразийской экономической комиссии	
001713	гипромеллоза	hypromellose	hypromellosum	13201 - Решение Коллегии Евразийской экономической комиссии	
001714	гиракодазол	giracodazole	giracodazolum	13201 - Решение Коллегии Евразийской экономической комиссии	
001715	гирактид	giractide	giractidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001716	гирентуксимаб	girentuximab	girentuximabum	13201 - Решение Коллегии Евразийской экономической комиссии	
001717	гиризопам	girisopam	girisopamum	13201 - Решение Коллегии Евразийской экономической комиссии	
001718	гирипладиб	giripladib	giripladibum	13201 - Решение Коллегии Евразийской экономической комиссии	
001719	гисаденафил	gisadenafil	gisadenafilum	13201 - Решение Коллегии Евразийской экономической комиссии	
001720	гистапирродин	histapyrrodine	histapyrrodinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001721	гистидин	histidine	histidinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001722	гистрелин	histrelin	histrelinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001723	гиталин аморфный	gitalin amorphous	gitalinum amorphum	13201 - Решение Коллегии Евразийской экономической комиссии	
001724	гиталоксин	gitaloxin	gitaloxinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001725	гитоформат	gitoformate	gitoformatum	13201 - Решение Коллегии Евразийской экономической комиссии	
001726	гиэтеллоза	hyetellose	hyetellosum	13201 - Решение Коллегии Евразийской экономической комиссии	
001727	глазиовин	glaziovine	glaziovinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001728	гласдегиб	glasdegib	glasdegibum	13201 - Решение Коллегии Евразийской экономической комиссии	
001729	гласпимод	glaspimod	glaspimodum	13201 - Решение Коллегии Евразийской экономической комиссии	
001730	глафенин	glafenine	glafeninum	13201 - Решение Коллегии Евразийской экономической комиссии	
001731	глекапревир	glecaprevir	glecaprevirum	13201 - Решение Коллегии Евразийской экономической комиссии	
001732	глемансерин	glemanserin	glemanserinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001733	глембатумумаб	glembatumumab	glembatumumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
001734	Глембатумумаб ведотин	glembatumumab vedotin	glembatumumabum vedotinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001735	гленвастатин	glenvastatin	glenvastatinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001736	глептоферрон	gleptoferron	gleptoferronum	13201 - Решение Коллегии Евразийской экономической комиссии	
001737	глесатиниб	glesatinib	glesatinibum	13201 - Решение Коллегии Евразийской экономической комиссии	
001738	глиамилид	gliamilide	gliamilidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001739	глибенкламид	glibenclamide	glibenclamidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001740	глиборнурид	glibornuride	glibornuridum	13201 - Решение Коллегии Евразийской экономической комиссии	
001741	глибузол	glybuzole	glybuzolum	13201 - Решение Коллегии Евразийской экономической комиссии	
001742	глибутиазол	glybuthiazol	glybuthiazolum	13201 - Решение Коллегии Евразийской экономической комиссии	
001743	глибутимин	glibutimine	glibutiminum	13201 - Решение Коллегии Евразийской экономической комиссии	
001744	глигексамид	glyhexamide	glyhexamidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001745	глидазамид	glidazamide	glidazamidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001746	глизамурид	glisamuride	glisamuridum	13201 - Решение Коллегии Евразийской экономической комиссии	
001747	глизентид	glisentide	glisentidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001748	глизиндамид	glisindamide	glisindamidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001749	глизобузол	glysobuzole	glysobuzolum	13201 - Решение Коллегии Евразийской экономической комиссии	
001750	глизоксепид	glisoxepide	glisoxepidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001751	глизоламид	glisolamide	glisolamidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001752	гликарамид	glicaramide	glicaramidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001753	гликвидон	gliquidone	gliquidonum	13201 - Решение Коллегии Евразийской экономической комиссии	
001754	гликлазид	gliclazide	gliclazidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001755	гликлопирамид	glyclopyramide	glyclopyramidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001756	гликобиарсол	glycobiarsol	glycobiarsolum	13201 - Решение Коллегии Евразийской экономической комиссии	
001757	гликондамид	glicondamide	glicondamidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001758	гликопиррония бромид	glycopyrronium bromide	glycopyrronii bromidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001759	глимепирид	glimepiride	glimepiridum	13201 - Решение Коллегии Евразийской экономической комиссии	
001760	глимидин натрия	glymidine sodium	glymidinum natricum	13201 - Решение Коллегии Евразийской экономической комиссии	
001761	глиоктамид	glyoctamide	glyoctamidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001762	глипаламид	glipalamide	glipalamidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001763	глипизид	glipizide	glipizidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001764	глипинамид	glypinamide	glypinamidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001765	глипротиазол	glyprothiazol	glyprothiazolum	13201 - Решение Коллегии Евразийской экономической комиссии	
001766	глифлумид	gliflumide	gliflumidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001767	глицерол	glycerol	glycerolum	13201 - Решение Коллегии Евразийской экономической комиссии	
001768	глицеролфенилбутират	glycerol phenylbutyrate	glyceroli phenylbutyras	13201 - Решение Коллегии Евразийской экономической комиссии	
001769	глицетанил	glicetanile	glicetanilum	13201 - Решение Коллегии Евразийской экономической комиссии	
001770	глицикламид	glycyclamide	glycyclamidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001771	глицин	glycine	glycinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001772	глоксазон	gloxazone	gloxazonum	13201 - Решение Коллегии Евразийской экономической комиссии	
001773	глоксимонам	gloximonam	gloximonamum	13201 - Решение Коллегии Евразийской экономической комиссии	
001774	глузоферрон	glusoferron	glusoferronum	13201 - Решение Коллегии Евразийской экономической комиссии	
001775	глуникат	glunicate	glunicatum	13201 - Решение Коллегии Евразийской экономической комиссии	
001776	глутамин	glutamine	glutaminum	13201 - Решение Коллегии Евразийской экономической комиссии	
001777	глутаминовая кислота	glutamic acid	acidum glutamicum	13201 - Решение Коллегии Евразийской экономической комиссии	
001778	глутарал	glutaral	glutaralum	13201 - Решение Коллегии Евразийской экономической комиссии	
001779	глутаурин	glutaurine	glutaurinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001780	глутетимид	glutethimide	glutethimidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001781	глуфосфамид	glufosfamide	glufosfamidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001782	глуцептат	gluceptate	gluceptas (R)	13201 - Решение Коллегии Евразийской экономической комиссии	
001783	глюкагон	glucagon	glucagonum	13201 - Решение Коллегии Евразийской экономической комиссии	
001784	глюкалокс	glucalox	glucaloxum	13201 - Решение Коллегии Евразийской экономической комиссии	
001785	глюкаметацин	glucametacin	glucametacinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001786	глюкарпидаза	glucarpidase	glucarpidasum	13201 - Решение Коллегии Евразийской экономической комиссии	
001787	глюкозамин	glucosamine	glucosaminum	13201 - Решение Коллегии Евразийской экономической комиссии	
001788	глюкосульфамид	glucosulfamide	glucosulfamidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001789	глюкосульфон	glucosulfone	glucosulfonum	13201 - Решение Коллегии Евразийской экономической комиссии	
001790	глюкуролактон	glucurolactone	glucurolactonum	13201 - Решение Коллегии Евразийской экономической комиссии	
001791	глюкуронамид	glucuronamide	glucuronamidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001792	гозерелин	goserelin	goserelinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001793	гозоглиптин	gosogliptin	gosogliptinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001794	гоксалапладиб	goxalapladib	goxalapladibum	13201 - Решение Коллегии Евразийской экономической комиссии	
001795	голватиниб	golvatinib	golvatinibum	13201 - Решение Коллегии Евразийской экономической комиссии	
001796	голимумаб	golimumab	golimumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
001797	голнерминоген праденовек	golnerminogene pradenovec	golnerminogenum pradenovecum	13201 - Решение Коллегии Евразийской экономической комиссии	
001798	голодирсен	golodirsen	golodirsenum	13201 - Решение Коллегии Евразийской экономической комиссии	
001799	голотимод	golotimod	golotimodum	13201 - Решение Коллегии Евразийской экономической комиссии	
001800	гомариламин	homarylamine	homarylaminum	13201 - Решение Коллегии Евразийской экономической комиссии	
001801	гоматропина метилбромид	homatropine methylbromide	homatropini methylbromidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001802	гомидия бромид	homidium bromide	homidii bromidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001803	гомопипрамол	homopipramol	homopipramolum	13201 - Решение Коллегии Евразийской экономической комиссии	
001804	гомосалат	homosalate	homosalatum	13201 - Решение Коллегии Евразийской экономической комиссии	
001805	гомофеназин	homofenazine	homofenazinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001806	гомохлорциклизин	homochlorcyclizine	homochlorcyclizinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001807	гомпренорфин	homprenorphine	homprenorphinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001808	гонадорелин	gonadorelin	gonadorelinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001809	гонадотропин сывороточный	serum gonadotrophin	gonadotrophinum sericum	13201 - Решение Коллегии Евразийской экономической комиссии	
001810	гонадотропин хорионический	chorionic gonadotrophin	gonadotrophinum chorionicum	13201 - Решение Коллегии Евразийской экономической комиссии	
001811	гопантеновая кислота	hopantenic acid	acidum hopantenicum	13201 - Решение Коллегии Евразийской экономической комиссии	
001812	горалатид	goralatide	goralatidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001813	гохизил	hoquizil	hoquizilum	13201 - Решение Коллегии Евразийской экономической комиссии	
001814	гразопревир	grazoprevir	grazoprevirum	13201 - Решение Коллегии Евразийской экономической комиссии	
001815	грамицидин	gramicidin	gramicidinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001816	грамицидин C	gramicidin S	gramicidinum S	13201 - Решение Коллегии Евразийской экономической комиссии	
001817	гранисетрон	granisetron	granisetronum	13201 - Решение Коллегии Евразийской экономической комиссии	
001818	гранотапид	granotapide	granotapidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001819	грапипрант	grapiprant	grapiprantum	13201 - Решение Коллегии Евразийской экономической комиссии	
001820	Граунимотид	graunimotide	graunimotidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001821	грепафлоксацин	grepafloxacin	grepafloxacinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001822	гризеофульвин	griseofulvin	griseofulvinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001823	гуабенксан	guabenxan	guabenxanum	13201 - Решение Коллегии Евразийской экономической комиссии	
001824	Гуадецитабин	guadecitabine	guadecitabinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001825	гуамециклин	guamecycline	guamecyclinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001826	гуанабенз	guanabenz	guanabenzum	13201 - Решение Коллегии Евразийской экономической комиссии	
001827	гуанадрел	guanadrel	guanadrelum	13201 - Решение Коллегии Евразийской экономической комиссии	
001828	гуаназодин	guanazodine	guanazodinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001829	гуанаклин	guanacline	guanaclinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001830	гуанетидин	guanethidine	guanethidinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001831	гуанизохин	guanisoquine	guanisoquinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001832	гуанклофин	guanclofine	guanclofinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001833	гуаноклор	guanoclor	guanoclorum	13201 - Решение Коллегии Евразийской экономической комиссии	
001834	гуаноксабенз	guanoxabenz	guanoxabenzum	13201 - Решение Коллегии Евразийской экономической комиссии	
001835	гуаноксан	guanoxan	guanoxanum	13201 - Решение Коллегии Евразийской экономической комиссии	
001836	гуаноксифен	guanoxyfen	guanoxyfenum	13201 - Решение Коллегии Евразийской экономической комиссии	
001837	гуаноктин	guanoctine	guanoctinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001838	гуанфацин	guanfacine	guanfacinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001839	гуанцидин	guancidine	guancidinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001840	гуарапролоза	guaraprolose	guaraprolosum	13201 - Решение Коллегии Евразийской экономической комиссии	
001841	гуафекаинол	guafecainol	guafecainolum	13201 - Решение Коллегии Евразийской экономической комиссии	
001842	гуацетисал	guacetisal	guacetisalum	13201 - Решение Коллегии Евразийской экономической комиссии	
001843	гуселкумаб	guselkumab	guselkumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
001844	гусперимус	gusperimus	gusperimusum	13201 - Решение Коллегии Евразийской экономической комиссии	
001845	дабелотин	dabelotine	dabelotinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001846	дабигатран	dabigatran	dabigatranum	13201 - Решение Коллегии Евразийской экономической комиссии	
001847	дабигатрана этексилат	dabigatran etexilate	dabigatranum etexilatum	13201 - Решение Коллегии Евразийской экономической комиссии	
001848	дабузалгрон	dabuzalgron	dabuzalgronum	13201 - Решение Коллегии Евразийской экономической комиссии	
001849	давалинтид	davalintide	davalintidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001850	давасаицин	davasaicin	davasaicinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001851	давунетид	davunetide	davunetidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001852	дагапамил	dagapamil	dagapamilum	13201 - Решение Коллегии Евразийской экономической комиссии	
001853	даглутрил	daglutril	daglutrilum	13201 - Решение Коллегии Евразийской экономической комиссии	
001854	дагрокорат	dagrocorat	dagrocoratum	13201 - Решение Коллегии Евразийской экономической комиссии	
001855	дазадрол	dazadrol	dazadrolum	13201 - Решение Коллегии Евразийской экономической комиссии	
001856	дазантафил	dasantafil	dasantafilum	13201 - Решение Коллегии Евразийской экономической комиссии	
001857	дазатиниб	dasatinib	dasatinibum	13201 - Решение Коллегии Евразийской экономической комиссии	
001858	дазепинил	dazepinil	dazepinilum	13201 - Решение Коллегии Евразийской экономической комиссии	
001859	дазидамин	dazidamine	dazidaminum	13201 - Решение Коллегии Евразийской экономической комиссии	
001860	дазмегрел	dazmegrel	dazmegrelum	13201 - Решение Коллегии Евразийской экономической комиссии	
001861	дазоксибен	dazoxiben	dazoxibenum	13201 - Решение Коллегии Евразийской экономической комиссии	
001862	дазолампанел	dasolampanel	dasolampanelum	13201 - Решение Коллегии Евразийской экономической комиссии	
001863	дазолицин	dazolicine	dazolicinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001864	дазоприд	dazopride	dazopridum	13201 - Решение Коллегии Евразийской экономической комиссии	
001865	дазохинаст	dazoquinast	dazoquinastum	13201 - Решение Коллегии Евразийской экономической комиссии	
001866	дакарбазин	dacarbazine	dacarbazinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001867	даклатасвир	daclatasvir	daclatasvirum	13201 - Решение Коллегии Евразийской экономической комиссии	
001868	даклизумаб	daclizumab	daclizumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
001869	даклизумаб бета	daclizumab beta	daclizumabum beta	13201 - Решение Коллегии Евразийской экономической комиссии	
001870	дакомитиниб	dacomitinib	dacomitinibum	13201 - Решение Коллегии Евразийской экономической комиссии	
001871	дакопафант	dacopafant	dacopafantum	13201 - Решение Коллегии Евразийской экономической комиссии	
001872	даксалипрам	daxalipram	daxalipramum	13201 - Решение Коллегии Евразийской экономической комиссии	
001873	дактиномицин	dactinomycin	dactinomycinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001874	дактолисиб	dactolisib	dactolisibum	13201 - Решение Коллегии Евразийской экономической комиссии	
001875	дакурония бромид	dacuronium bromide	dacuronii bromidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001876	далазатид	dalazatide	dalazatidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001877	далантерцепт	dalantercept	dalanterceptum	13201 - Решение Коллегии Евразийской экономической комиссии	
001878	далбаванцин	dalbavancin	dalbavancinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001879	далбраминол	dalbraminol	dalbraminolum	13201 - Решение Коллегии Евразийской экономической комиссии	
001880	далвастатин	dalvastatin	dalvastatinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001881	даледалин	daledalin	daledalinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001882	далкотидин	dalcotidine	dalcotidinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001883	далотузумаб	dalotuzumab	dalotuzumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
001884	далтепарин натрия	dalteparin sodium	dalteparinum natricum	13201 - Решение Коллегии Евразийской экономической комиссии	
001885	далтробан	daltroban	daltrobanum	13201 - Решение Коллегии Евразийской экономической комиссии	
001886	далфопристин	dalfopristin	dalfopristinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001887	далцетрапиб	dalcetrapib	dalcetrapibum	13201 - Решение Коллегии Евразийской экономической комиссии	
001888	даметраласт	dametralast	dametralastum	13201 - Решение Коллегии Евразийской экономической комиссии	
001889	дамоктоког альфа пэгол	damoctocog alfa pegol	damoctocogum alfa pegolum	13201 - Решение Коллегии Евразийской экономической комиссии	
001890	дамотепин	damotepine	damotepinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001891	даназол	danazol	danazolum	13201 - Решение Коллегии Евразийской экономической комиссии	
001892	данапароид натрия	danaparoid sodium	danaparoidum natricum	13201 - Решение Коллегии Евразийской экономической комиссии	
001893	данегаптид	danegaptide	danegaptidum	13201 - Решение Коллегии Евразийской экономической комиссии	
001894	даниплестим	daniplestim	daniplestimum	13201 - Решение Коллегии Евразийской экономической комиссии	
001895	данириксин	danirixin	danirixinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001896	данитрацен	danitracen	danitracenum	13201 - Решение Коллегии Евразийской экономической комиссии	
001897	данихидон	daniquidone	daniquidonum	13201 - Решение Коллегии Евразийской экономической комиссии	
001898	данопревир	danoprevir	danoprevirum	13201 - Решение Коллегии Евразийской экономической комиссии	
001899	даностеин	danosteine	danosteinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001900	данофлоксацин	danofloxacin	danofloxacinum	13201 - Решение Коллегии Евразийской экономической комиссии	
001901	дантролен	dantrolene	dantrolenum	13201 - Решение Коллегии Евразийской экономической комиссии	
001902	дантрон	dantron	dantronum	13201 - Решение Коллегии Евразийской экономической комиссии	
001903	данусертиб	danusertib	danusertibum	13201 - Решение Коллегии Евразийской экономической комиссии	
001904	дапабутан	dapabutan	dapabutanum	13201 - Решение Коллегии Евразийской экономической комиссии	
001905	дапаглифлозин	dapagliflozin	dapagliflozinum	13201 - Решение Коллегии Евразийской экономической комиссии	
