Справочник международных непатентованных наименований лекарственных средств					
Общее количество элементов: 9347					
			https://nsi.eaeunion.org/portal/1016?searchText=&date=2025-09-08		
Количество выгруженных элементов: 9347					
Код международного непатентованного наименования лекарственного средства	Международное непатентованное наименование лекарственного средства на русском языке	Международное непатентованное наименование лекарственного средства на английском языке	Международное непатентованное наименование лекарственного средства на латинском языке	Вид акта	
000063	адатансерин	adatanserin	adatanserinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000064	адафеноксат	adafenoxate	adafenoxatum	13201 - Решение Коллегии Евразийской экономической комиссии	
000065	адеграмотид	adegramotide	adegramotidum	13201 - Решение Коллегии Евразийской экономической комиссии	
000066	адекалант	adekalant	adekalantum	13201 - Решение Коллегии Евразийской экономической комиссии	
000067	адекатумумаб	adecatumumab	adecatumumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
000068	аделмидрол	adelmidrol	adelmidrolum	13201 - Решение Коллегии Евразийской экономической комиссии	
000069	адеметионин	ademetionine	ademetioninum	13201 - Решение Коллегии Евразийской экономической комиссии	
000070	аденозина фосфат	adenosine phosphate	adenosini phosphas	13201 - Решение Коллегии Евразийской экономической комиссии	
000071	адербасиб	aderbasib	aderbasibum	13201 - Решение Коллегии Евразийской экономической комиссии	
000072	адефовир	adefovir	adefovirum	13201 - Решение Коллегии Евразийской экономической комиссии	
000073	адибендан	adibendan	adibendanum	13201 - Решение Коллегии Евразийской экономической комиссии	
000074	адимолол	adimolol	adimololum	13201 - Решение Коллегии Евразийской экономической комиссии	
000075	адиназолам	adinazolam	adinazolamum	13201 - Решение Коллегии Евразийской экономической комиссии	
000076	адипиодон	adipiodone	adipiodonum	13201 - Решение Коллегии Евразийской экономической комиссии	
000077	адипиплон	adipiplon	adipiplonum	13201 - Решение Коллегии Евразийской экономической комиссии	
000078	адитерен	aditeren	aditerenum	13201 - Решение Коллегии Евразийской экономической комиссии	
000079	адитоприм	aditoprim	aditoprimum	13201 - Решение Коллегии Евразийской экономической комиссии	
000080	адифенин	adiphenine	adipheninum	13201 - Решение Коллегии Евразийской экономической комиссии	
000081	адициллин	adicillin	adicillinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000082	адозелезин	adozelesin	adozelesinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000083	адозопин	adosopine	adosopinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000084	адомегливант	adomeglivant	adomeglivantum	13201 - Решение Коллегии Евразийской экономической комиссии	
000085	адомипарин натрия	adomiparin sodium	adomiparinum natricum	13201 - Решение Коллегии Евразийской экономической комиссии	
000086	адопразин	adoprazine	adoprazinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000087	адрафинил	adrafinil	adrafinilum	13201 - Решение Коллегии Евразийской экономической комиссии	
000088	адреналон	adrenalone	adrenalonum	13201 - Решение Коллегии Евразийской экономической комиссии	
000089	адроголид	adrogolide	adrogolidum	13201 - Решение Коллегии Евразийской экономической комиссии	
000090	адуканумаб	aducanumab	aducanumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
000091	азабон	azabon	azabonum	13201 - Решение Коллегии Евразийской экономической комиссии	
000092	азабуперон	azabuperone	azabuperonum	13201 - Решение Коллегии Евразийской экономической комиссии	
000093	азаклорзин	azaclorzine	azaclorzinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000094	азаконазол	azaconazole	azaconazolum	13201 - Решение Коллегии Евразийской экономической комиссии	
000095	азакостерол	azacosterol	azacosterolum	13201 - Решение Коллегии Евразийской экономической комиссии	
000096	азаланстат	azalanstat	azalanstatum	13201 - Решение Коллегии Евразийской экономической комиссии	
000097	азалоксан	azaloxan	azaloxanum	13201 - Решение Коллегии Евразийской экономической комиссии	
000098	азаломицин	azalomycin	azalomycinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000099	азаметония бромид	azamethonium bromide	azamethonii bromidum	13201 - Решение Коллегии Евразийской экономической комиссии	
000100	азамулин	azamulin	azamulinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000101	азанатор	azanator	azanatorum	13201 - Решение Коллегии Евразийской экономической комиссии	
000102	азанидазол	azanidazole	azanidazolum	13201 - Решение Коллегии Евразийской экономической комиссии	
000103	азаперон	azaperone	azaperonum	13201 - Решение Коллегии Евразийской экономической комиссии	
000104	азапропазон	azapropazone	azapropazonum	13201 - Решение Коллегии Евразийской экономической комиссии	
000105	азапроцин	azaprocin	azaprocinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000106	азарибин	azaribine	azaribinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000107	азасерин	azaserine	azaserinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000108	азасетрон	azasetron	azasetronum	13201 - Решение Коллегии Евразийской экономической комиссии	
000109	азаспирия хлорид	azaspirium chloride	azaspirii chloridum	13201 - Решение Коллегии Евразийской экономической комиссии	
000110	азастен	azastene	azastenum	13201 - Решение Коллегии Евразийской экономической комиссии	
000111	азатадин	azatadine	azatadinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000112	азатепа	azatepa	azatepum	13201 - Решение Коллегии Евразийской экономической комиссии	
000113	азатиоприн	azathioprine	azathioprinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000114	азафтозин	azaftozine	azaftozinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000115	азахинзол	azaquinzole	azaquinzolum	13201 - Решение Коллегии Евразийской экономической комиссии	
000116	азациклонол	azacyclonol	azacyclonolum	13201 - Решение Коллегии Евразийской экономической комиссии	
000117	азацитидин	azacitidine	azacitidinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000118	азелаиновая кислота	azelaic acid	acidum azelaicum	13201 - Решение Коллегии Евразийской экономической комиссии	
000119	азеластин	azelastine	azelastinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000120	азелирагон	azeliragon	azeliragonum	13201 - Решение Коллегии Евразийской экономической комиссии	
000121	азелнидипин	azelnidipine	azelnidipinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000122	азенапин	asenapine	asenapinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000123	азепексол	azepexole	azepexolum	13201 - Решение Коллегии Евразийской экономической комиссии	
000124	азепиндол	azepindole	azepindolum	13201 - Решение Коллегии Евразийской экономической комиссии	
000125	азерипид	aseripide	aseripidum	13201 - Решение Коллегии Евразийской экономической комиссии	
000126	азетирелин	azetirelin	azetirelinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000127	азидамфеникол	azidamfenicol	azidamfenicolum	13201 - Решение Коллегии Евразийской экономической комиссии	
000128	азидоциллин	azidocillin	azidocillinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000129	азилсартан	azilsartan	azilsartanum	13201 - Решение Коллегии Евразийской экономической комиссии	
000130	азилсартан медоксомил	azilsartan medoxomil	azilsartanum medoxomilum	13201 - Решение Коллегии Евразийской экономической комиссии	
000131	азимадолин	asimadoline	asimadolinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000132	азимексон	azimexon	azimexonum	13201 - Решение Коллегии Евразийской экономической комиссии	
000133	азимилид	azimilide	azimilidum	13201 - Решение Коллегии Евразийской экономической комиссии	
000134	азинтамид	azintamide	azintamidum	13201 - Решение Коллегии Евразийской экономической комиссии	
000135	азипрамин	azipramine	azipraminum	13201 - Решение Коллегии Евразийской экономической комиссии	
000136	азитромицин	azithromycin	azithromycinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000137	азлоциллин	azlocillin	azlocillinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000138	азобамаст	asobamast	asobamastum	13201 - Решение Коллегии Евразийской экономической комиссии	
000139	азокаинол	asocainol	asocainolum	13201 - Решение Коллегии Евразийской экономической комиссии	
000140	азоксимера бромид	azoximer bromide	azoximeri bromidum	13201 - Решение Коллегии Евразийской экономической комиссии	
000141	азолимин	azolimine	azoliminum	13201 - Решение Коллегии Евразийской экономической комиссии	
000142	азоприснил	asoprisnil	asoprisnilum	13201 - Решение Коллегии Евразийской экономической комиссии	
000143	азоприснила экамат	asoprisnil ecamate	asoprisnili ecamas	13201 - Решение Коллегии Евразийской экономической комиссии	
000144	азосемид	azosemide	azosemidum	13201 - Решение Коллегии Евразийской экономической комиссии	
000145	азотомицин	azotomycin	azotomycinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000146	азтреонам	aztreonam	aztreonamum	13201 - Решение Коллегии Евразийской экономической комиссии	
000147	азумолен	azumolene	azumolenum	13201 - Решение Коллегии Евразийской экономической комиссии	
000148	акадезин	acadesine	acadesinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000149	Акалабрутиниб	acalabrutinib	acalabrutinibum	13201 - Решение Коллегии Евразийской экономической комиссии	
000150	акалисиб	acalisib	acalisibum	13201 - Решение Коллегии Евразийской экономической комиссии	
000151	акампросат	acamprosate	acamprosatum	13201 - Решение Коллегии Евразийской экономической комиссии	
000152	акапразин	acaprazine	acaprazinum	13201 - Решение Коллегии Евразийской экономической комиссии	
