Code,Name (UZ),Name (RU),Name (EN)
nilknown,Ma’lum emas (aniq tekshiruvdan so‘ng hech narsa topilmagan),Ничего не известно (после проверки нет известных данных),Nil Known
notasked,So‘ralmagan,Не спрашивалось,Not Asked
withheld,Maxfiylik sababli berilmagan,Информация удержана (по причинам конфиденциальности),Information Withheld
unavailable,Mavjud emas (ma’lumotni olishning imkoni yo‘q),Недоступно (невозможно получить информацию),Unavailable
notstarted,Boshlanmagan,Не начато,Not Started
closed,Yopilgan (dolzarbligini yo‘qotgan),Закрыто (больше не актуально),Closed
