CODE	UZ	RU	EN																						
36673005	Inyektsiya, teri ichiga yuborish	Инъекция, внутрикожное введение	Injection, intradermal																						
76601001	Inyektsiya, mushakka yuborishl	Инъекция, внутримышечно	"	Injection, intramuscular"	https://browser.ihtsdotools.org/?perspective=full&conceptId1=404684003&edition=MAIN/2026-01-01&release=&languages=en																					
26643006	Yutish, og'iz orqali	"
Глотание, оральный"	"	Swallow, oral"																						
300036000	Inyektsiya, teri ostiga yuborish	"
Инъекция, подкожное введение"	Subcutaneous infusion (procedure)																						
738987007	Трансдермал воситалар	Трансдермальные средства	Transdermal																						
