CODE,UZ,RU,EN
II_100,Shifoxona muassasalari,Больничные помещения,Hospital premises
II_200,Tez tibbiy yordam muassasalari,Учреждения неотложной медицинской помощи,Emergency medical care institutions
II_300,Ambulator-poliklinika muassasalari,Амбулаторно-поликлинические учреждения,Outpatient and polyclinic institutions
II_400,Sogʻlomlashtirish sihatgohlari,Курорты,Resorts
II_500,Sud-tibbiy ekspertiza ilmiy-amaliy markazi,Научно-практический центр судебно-медицинской экспертизы,Scientific and practical center of forensic medical examination
II_600,Patologik anatomiya,Патологическая анатомия,Pathological anatomy
II_700,Qon quyish markazi,Центр переливания крови,Blood transfusion center
II_800,Sanitariya-epidemiologik osoyishtalik va jamoat salomatligi,Санитарно-эпидемиологическое благополучие и здоровье населения,Sanitary and epidemiological welfare and health of the population
II_900,Sogʻliqni saqlash tizimining boshqa tashkilotlari,Другие организации здравоохранения,Other health care organizations
